Support,Pattern,Cluster Sequence
11,take place mediat → take place mediat → meet take place → octob septemb decemb → take place mediat,4 → 4 → 22 → 13 → 4
11,take place mediat → take place mediat → focus aim implement,4 → 4 → 16
11,take place mediat → take place mediat → commit agreement committe → agreement implement reach → establish develop implement,4 → 4 → 11 → 27 → 43
11,take place mediat → take place mediat → commit agreement committe → juli meet immedi,4 → 4 → 11 → 21
11,take place mediat → take place mediat → commit agreement committe → negoti take place,4 → 4 → 11 → 18
11,take place mediat → take place mediat → commit agreement committe → commit agreement committe,4 → 4 → 11 → 11
11,take place mediat → take place mediat → agreement implement reach → establish develop implement → agreement implement reach,4 → 4 → 27 → 43 → 27
11,take place mediat → take place mediat → agreement implement reach → agreement implement reach → agreement implement reach,4 → 4 → 27 → 27 → 27
11,take place mediat → take place mediat → agreement implement reach → agreement implement reach → establish develop implement,4 → 4 → 27 → 27 → 43
11,take place mediat → take place mediat → agreement implement reach → govern state take,4 → 4 → 27 → 20
11,take place mediat → take place mediat → agreement implement reach → octob septemb decemb,4 → 4 → 27 → 13
11,take place mediat → take place mediat → agreement implement reach → coalit strateg launch,4 → 4 → 27 → 7
11,take place mediat → take place mediat → agreement implement reach → lead ceasefir peac,4 → 4 → 27 → 8
11,take place mediat → take place mediat → agre end set → take place mediat → take place mediat,4 → 4 → 35 → 4 → 4
11,take place mediat → take place mediat → agre end set → agreement implement reach,4 → 4 → 35 → 27
11,take place mediat → take place mediat → agre end set → juli meet immedi,4 → 4 → 35 → 21
11,take place mediat → take place mediat → agre end set → cessat continu mediat,4 → 4 → 35 → 38
11,take place mediat → take place mediat → agre end set → negoti take place,4 → 4 → 35 → 18
11,take place mediat → take place mediat → juli meet immedi → cessat continu mediat,4 → 4 → 21 → 38
11,take place mediat → take place mediat → juli meet immedi → govern state take,4 → 4 → 21 → 20
11,take place mediat → take place mediat → juli meet immedi → octob septemb decemb,4 → 4 → 21 → 13
11,take place mediat → take place mediat → juli meet immedi → juli meet immedi,4 → 4 → 21 → 21
11,take place mediat → take place mediat → negoti take place → parti meet reach → cessat continu mediat,4 → 4 → 18 → 39 → 38
11,take place mediat → take place mediat → negoti take place → parti meet reach → take place mediat → take place mediat,4 → 4 → 18 → 39 → 4 → 4
11,take place mediat → take place mediat → negoti take place → cessat continu mediat → establish develop implement,4 → 4 → 18 → 38 → 43
11,take place mediat → take place mediat → negoti take place → take place mediat → take place mediat → take place mediat,4 → 4 → 18 → 4 → 4 → 4
11,take place mediat → take place mediat → negoti take place → take place mediat → sign meet comprehen,4 → 4 → 18 → 4 → 0
11,take place mediat → take place mediat → negoti take place → meet take place → meet take place,4 → 4 → 18 → 22 → 22
11,take place mediat → take place mediat → negoti take place → hold confer elect,4 → 4 → 18 → 49
11,take place mediat → take place mediat → negoti take place → octob septemb decemb → meet take place,4 → 4 → 18 → 13 → 22
11,take place mediat → take place mediat → negoti take place → octob septemb decemb → take place mediat,4 → 4 → 18 → 13 → 4
11,take place mediat → take place mediat → negoti take place → octob septemb decemb → parti meet reach,4 → 4 → 18 → 13 → 39
11,take place mediat → take place mediat → negoti take place → negoti take place → negoti take place → take place mediat,4 → 4 → 18 → 18 → 18 → 4
11,take place mediat → take place mediat → negoti take place → negoti take place → take place mediat → negoti take place,4 → 4 → 18 → 18 → 4 → 18
11,take place mediat → take place mediat → negoti take place → negoti take place → sign meet comprehen,4 → 4 → 18 → 18 → 0
11,take place mediat → take place mediat → negoti take place → govern state take → negoti take place,4 → 4 → 18 → 20 → 18
11,take place mediat → take place mediat → negoti take place → process take place,4 → 4 → 18 → 2
11,take place mediat → take place mediat → govern congoles congo → parti meet reach,4 → 4 → 44 → 39
11,take place mediat → take place mediat → govern congoles congo → establish develop implement,4 → 4 → 44 → 43
11,take place mediat → take place mediat → parti meet reach → take place mediat → establish develop implement,4 → 4 → 39 → 4 → 43
11,take place mediat → take place mediat → parti meet reach → take place mediat → agreement implement reach,4 → 4 → 39 → 4 → 27
11,take place mediat → take place mediat → parti meet reach → tension violenc continu,4 → 4 → 39 → 24
11,take place mediat → take place mediat → parti meet reach → parti meet reach,4 → 4 → 39 → 39
11,take place mediat → take place mediat → parti meet reach → negoti take place → take place mediat,4 → 4 → 39 → 18 → 4
11,take place mediat → take place mediat → parti meet reach → negoti take place → agreement implement reach,4 → 4 → 39 → 18 → 27
11,take place mediat → take place mediat → parti meet reach → octob septemb decemb,4 → 4 → 39 → 13
11,take place mediat → take place mediat → parti meet reach → februari januari hold,4 → 4 → 39 → 19
11,take place mediat → take place mediat → tension violenc continu → negoti take place,4 → 4 → 24 → 18
11,take place mediat → take place mediat → tension violenc continu → negoti take place → take place mediat,4 → 4 → 24 → 18 → 4
11,take place mediat → take place mediat → tension violenc continu → meet take place,4 → 4 → 24 → 22
